"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"REG4",1593.58985743915,1.8159544333944,0.277133125547288,6.55264299353685,5.65275460796556e-11,9.42705537697641e-09
"C1QTNF7",267.914953327691,-1.74067577140876,0.26750327597051,-6.50711945524233,7.66054958363104e-11,1.26365761392592e-08
"CLEC7A",1711.80054367039,2.1988074202505,0.338996127902714,6.48623166834966,8.80098064902118e-11,1.43616862719941e-08
"PTX3",400.175567640816,1.51998563383484,0.235083006008037,6.46574016406305,1.00804163339382e-10,1.62745104557283e-08
"KRT8",18859.5652403589,1.17213293794513,0.182827396538205,6.41114493855515,1.44430801847041e-10,2.30724405140073e-08
"PI15",3436.70877764193,2.35808180728363,0.368138820296345,6.40541468945169,1.49961218828927e-10,2.37063693432062e-08
"SCUBE2",414.427959353978,-1.92712239001078,0.30128935385201,-6.396251196308,1.5923796260221e-10,2.49133538190838e-08
"PLP1",379.613016693178,-2.02893222480209,0.318864724361523,-6.36298740434432,1.97866922894846e-10,3.06411063454304e-08
"TREM1",3419.34011795501,6.40743686782088,1.00744731710304,6.36007139931224,2.01659989576018e-10,3.07945284534411e-08
"LILRB2",3440.22182162839,1.8034948596605,0.283607721146797,6.35911763039413,2.0291597557618e-10,3.07945284534411e-08
"SERPINA5",279.877839061989,-2.62840158058576,0.415769469322715,-6.32177630759517,2.58573513390341e-10,3.88525904872458e-08
"HCAR3",1931.92702294262,8.07354132671061,1.27779975831817,6.31831495831312,2.64430668458318e-10,3.93431355345435e-08
"CEACAM4",117.505638984949,2.42792924739461,0.385262581486506,6.30201157357829,2.93807222379528e-10,4.32894990954536e-08
"RGS13",970.122322406765,-3.1152164009641,0.49461018501174,-6.29832643031838,3.00876378080106e-10,4.39048068629202e-08
"COL4A1",15467.5922647585,1.67630890658113,0.267157738758337,6.27460358952007,3.50526195261914e-10,5.06627194218554e-08
"OLFML2B",1074.48694743961,1.25088483838195,0.200073748957593,6.25211875570485,4.04921296271597e-10,5.79725055869599e-08
"MFAP5",91.8739464834373,-2.46090240398663,0.394205325911072,-6.24269192279198,4.301035302684e-10,6.10023474332078e-08
"CLEC4D",107.405094720697,3.96644860073613,0.640170672893372,6.19592363206676,5.79442182100167e-10,8.1422356995853e-08
"PCSK2",85.2817645245927,-2.5381189007416,0.410334978132256,-6.18548024420071,6.19136890498466e-10,8.60879696116555e-08
"CTSF",707.292013359298,-1.44960734479725,0.234403154692087,-6.18424844452908,6.23990291070249e-10,8.60879696116555e-08
"GREM1",11954.5149516025,1.87303329406373,0.305118570733767,6.13870630541875,8.31962163757936e-10,1.13746466641355e-07
"SCNN1A",1072.59543534832,1.31594921340585,0.215307963435738,6.11193934681664,9.84275953643457e-10,1.33369391718688e-07
"VGF",111.214935055038,2.60707119686039,0.427261885967226,6.10181081553427,1.04873462782145e-09,1.40845988600162e-07
"DACT2",54.6093140198315,-2.80104748911736,0.459198051652183,-6.09986797426353,1.061561097687e-09,1.41317993144718e-07
"S100A8",7724.52420603904,2.49141974306114,0.411727569727411,6.0511365432988,1.43827473008326e-09,1.89802237423857e-07
"HCAR2",5175.10709185121,8.2665412171772,1.37201395078903,6.02511454961753,1.68989893769744e-09,2.21085398952554e-07
